"","Name","Size","Sector","Country","Country Status","Region","Date Added","Title","Publication Year","Type","Report Pdf Address","Report Html Address","Adherence Level","Status","Application Level","Sector Supplements (Final)","GRI Content Index URL","Integrated","Organization type","Listed/Non-listed","OECD","UNGC","CDP","IFC","ISO","External Assurance","Type of Assurance Provider","Assurance Provider","Stakeholder Panel/ Expert Opinion","Assurance Scope","Level of Assurance","Assurance Standard: AA1000 AS","Assurance Stanadard: ISAE3000","Assurance Standard: national (general)","Assurance Standard: national (sustainability)","Materiality Matters Check","GRI Service","Featured Report?","OS","GOLD Community","SDGs"
"1","Aeroports de Paris (ADP)","Large","Aviation","France","OECD","Europe","10/11/2008","Bilan Environnement 2000",2000,"GRI - G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","British Airways","Large","Aviation","United Kingdom of Great Britain and Northern Ireland","OECD","Europe","9/2/2009","British Airways Social and Environmental Report 2000",2000,"GRI - G1","http://www.britishairways.com/cms/masterEN/content/company_information/community_and_environmental/report_2000.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Aeroports de Paris (ADP)","Large","Aviation","France","OECD","Europe","21-11-2008","Bilan Environnement 2001",2001,"GRI - G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BAA","Large","Aviation","United Kingdom of Great Britain and Northern Ireland","OECD","Europe","4-11-2008","Annual report 2000-2001",2001,"GRI - G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","SAS Group AB (Sweden)","Large","Aviation","Sweden","OECD","Europe","9-2-2009","Environmental Report 2000",2001,"GRI - G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Schiphol Group","Large","Aviation","Netherlands","OECD","Europe","9-2-2009","Omgevingsverslag Schiphol Group 2000",2001,"GRI - G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Aéroport Lyon Saint Exupéry","Large","Aviation","France","OECD","Europe","4-11-2008","Working Towards Sustainable Development 2001",2002,"GRI - G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Aeroports de Paris (ADP)","Large","Aviation","France","OECD","Europe","25-11-2008","Rapport développement durable 2002",2002,"GRI - G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","AMR","Large","Aviation","United States of America","OECD","Northern America","15-12-2011","Environmental Leadership and Stewardship in a Changing World 2001",2002,"GRI - G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BAA","Large","Aviation","United Kingdom of Great Britain and Northern Ireland","OECD","Europe","9-2-2009","Annual report 2001-2002",2002,"GRI - G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
